CFG,b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt--final_kernel,backprop-rodinia-3.1/65536--final_kernel,bfs-rodinia-3.1/__data_graph1MW_6_txt--final_kernel,gaussian-rodinia-3.1/_f___data_matrix208_txt--final_kernel,hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out--final_kernel,lud-rodinia-3.1/_s_256__v--final_kernel,myocyte-rodinia-3.1/100_1_0--final_kernel,nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90--final_kernel,nw-rodinia-3.1/2048_10--final_kernel,srad_v1-rodinia-3.1/100_0_5_502_458--final_kernel
CFG,b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt--final_kernel,backprop-rodinia-3.1/65536--final_kernel,bfs-rodinia-3.1/__data_graph1MW_6_txt--final_kernel,gaussian-rodinia-3.1/_f___data_matrix208_txt--final_kernel,hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out--final_kernel,lud-rodinia-3.1/_s_256__v--final_kernel,myocyte-rodinia-3.1/100_1_0--final_kernel,nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90--final_kernel,nw-rodinia-3.1/2048_10--final_kernel,srad_v1-rodinia-3.1/100_0_5_502_458--final_kernel
QV100-PTX-1B_INSN,231264,227530,120604,87312,287683,46669,203,120105,21008,248262

----------------------------------------------------------------------------------------------------,,,,,,,,,,
gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\),,,,,,,,,,
CFG,b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt--final_kernel,backprop-rodinia-3.1/65536--final_kernel,bfs-rodinia-3.1/__data_graph1MW_6_txt--final_kernel,gaussian-rodinia-3.1/_f___data_matrix208_txt--final_kernel,hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out--final_kernel,lud-rodinia-3.1/_s_256__v--final_kernel,myocyte-rodinia-3.1/100_1_0--final_kernel,nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90--final_kernel,nw-rodinia-3.1/2048_10--final_kernel,srad_v1-rodinia-3.1/100_0_5_502_458--final_kernel
QV100-PTX-1B_INSN,85,72,183,991,47,1195,1484,605,879,279

----------------------------------------------------------------------------------------------------,,,,,,,,,,
gpgpu_silicon_slowdown\s*=\s*(.*)x,,,,,,,,,,
CFG,b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt--final_kernel,backprop-rodinia-3.1/65536--final_kernel,bfs-rodinia-3.1/__data_graph1MW_6_txt--final_kernel,gaussian-rodinia-3.1/_f___data_matrix208_txt--final_kernel,hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out--final_kernel,lud-rodinia-3.1/_s_256__v--final_kernel,myocyte-rodinia-3.1/100_1_0--final_kernel,nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90--final_kernel,nw-rodinia-3.1/2048_10--final_kernel,srad_v1-rodinia-3.1/100_0_5_502_458--final_kernel
QV100-PTX-1B_INSN,13317647,15722222,6185792,1142280,24085106,947280,762803,1871074,1287827,4057347

----------------------------------------------------------------------------------------------------,,,,,,,,,,
gpu_tot_ipc\s*=\s*(.*),,,,,,,,,,
CFG,b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt--final_kernel,backprop-rodinia-3.1/65536--final_kernel,bfs-rodinia-3.1/__data_graph1MW_6_txt--final_kernel,gaussian-rodinia-3.1/_f___data_matrix208_txt--final_kernel,hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out--final_kernel,lud-rodinia-3.1/_s_256__v--final_kernel,myocyte-rodinia-3.1/100_1_0--final_kernel,nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90--final_kernel,nw-rodinia-3.1/2048_10--final_kernel,srad_v1-rodinia-3.1/100_0_5_502_458--final_kernel
QV100-PTX-1B_INSN,2720.5005,3159.5266,658.5748,88.0491,6101.5273,39.0404,0.1368,198.2916,23.8740,889.2903

